04/03/2026-10:50:39.578063  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:41.562012  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:43.610047  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:45.593057  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:47.577035  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:49.561070  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:51.609056  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:53.593145  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:55.577073  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
04/03/2026-10:50:57.561114  [**] [1:2200121:1] SURICATA Ethertype unknown [**] [Classification: Generic Protocol Command Decode] [Priority: 3] [**] [Raw pkt: 01 80 C2 00 00 00 FE 54 00 BF 9C ED 00 26 42 42 03 00 00 00 00 00 80 00 52 54 00 6E B4 ED 00 00 ]
